timestamp,mac,rssi,origem
2025-04-05 15:31:27.200654,22:55:7e:84:10:17,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.208763,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.415806,56:4b:54:34:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.491182,1e:98:11:c5:8f:2f,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.014476,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.021887,30:cc:21:14:be:83,-19.0,-19 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.060150,52:9f:14:d9:81:25,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.078516,22:55:7e:84:10:17,-73.0,-73 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.088028,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.099418,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.153487,dc:4f:22:fa:54:46,-73.0,-73 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.173222,1e:98:11:c5:8f:2f,-72.0,-72 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.232768,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.314935,a0:de:0f:60:67:8d,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:28.951738,56:4b:54:34:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:29.009622,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:29.021041,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
